Triple rate, 55 free pulls + 7500 embers
Percentile |  Count | Result
    0.0000 |  47881 | 1* +15 shards
    0.0479 | 175169 | 2* +05 shards
    0.2230 | 281602 | 2* +30 shards
    0.5047 | 258667 | 2* +55 shards
    0.7633 | 152083 | 3* +000 shards
    0.9154 |  61199 | 3* +025 shards
    0.9766 |  18263 | 3* +050 shards
    0.9949 |   4215 | 3* +075 shards
    0.9991 |    789 | 3* +100 shards
    0.9999 |    113 | 4* +015 shards
    1.0000 |     13 | 4* +040 shards
    1.0000 |      6 | 4* +065 shards

One cycle, 5700 embers
Percentile |  Count | Result
    0.0000 | 613319 | 0* +00 shards
    0.6133 | 301649 | 1* +10 shards
    0.9150 |  72116 | 2* +00 shards
    0.9871 |  11496 | 2* +25 shards
    0.9986 |   1310 | 2* +50 shards
    0.9999 |     99 | 2* +75 shards
    1.0000 |     11 | 3* +020 shards

Double pick, 20 free pulls + 6000 embers + 1000 crystals
Percentile |  Count | Result
    0.0000 | 364828 | 2* +00 shards
    0.3648 | 153488 | 2* +25 shards
    0.5183 |  42176 | 2* +50 shards
    0.5605 |   8567 | 2* +75 shards
    0.5691 |   1363 | 3* +020 shards
    0.5704 |    164 | 3* +045 shards
    0.5706 |     17 | 3* +070 shards
    0.5706 |      1 | 4* +010 shards
    0.5706 | 429396 | 50 shards

UR/SR, 6000 embers
Percentile |  Count | Result
    0.0000 | 609421 | 0 shards
    0.6094 | 321498 | 0* +00 shards
    0.9309 |  63325 | 1* +10 shards
    0.9942 |   5573 | 2* +00 shards
    0.9998 |    183 | 2* +25 shards

Swap, 30 free pulls + 4500 embers
Percentile |  Count | Result
    0.0000 | 970429 | 0 shards
    0.9704 |  29171 | 0* +00 shards
    0.9996 |    395 | 1* +10 shards
    1.0000 |      5 | 2* +00 shards

Galaxy, 10 free pulls + ~17780 embers + ~72 crystals
Percentile |  Count | Result
    0.0000 | 198882 | 0 shards
    0.1989 | 375454 | 0* +00 shards
    0.5743 | 280848 | 1* +10 shards
    0.8552 | 111995 | 2* +00 shards
    0.9672 |  27450 | 2* +25 shards
    0.9946 |   4705 | 2* +50 shards
    0.9993 |    596 | 2* +75 shards
    0.9999 |     64 | 3* +020 shards
    1.0000 |      4 | 3* +045 shards
    1.0000 |      2 | 3* +070 shards

Combined results, 47480 embers, 1072 crystals
Percentile |  Count | Result
    0.0000 |   1430 | 2* +55 shards
    0.0014 |  11016 | 3* +000 shards
    0.0124 |  38865 | 3* +025 shards
    0.0513 |  89380 | 3* +050 shards
    0.1407 | 144177 | 3* +075 shards
