Normal Chest
Zongzi,M
Long Bao,M
Orange Juice,M
Tom Yum,M
Milk,M
Sashimi,M
Coffee,M

Rare Chest
Chrysanthemum Wine,R
Sanma,R
Kuruma Prawn,R
Lamb Spine Hotpot,R
Kitsune Udon,R
Pineapple Bun,R
Mashed Potatoes,R
Waffle,R
Mixed Fish Soup,R
Amaebi,R
Black Tea,R
Brownie,R
Tequila,R
Hardtack,R
Cappuccino,R
Bonito Rice,R
Steak,R
Donut,R
Red Wine,R
Royal Jelly,R
Dongtang,R
Tiramisu,R
Marshmallow,R
Escargot,R
Gyoza,R
Sukiyaki,R
Century Egg,R
Beggar's Chicken,R
Mandarin Squirrel Fish,R
Beer,R
Opera Cake,R
Snowskin Mooncake,R
Tamagoyaki,R
Fish and Chips,R
Awamori,R
Hamburger,R
Candy Apple,R
Five Snake Soup,R
Milk Tea,R
Square Mutton Fish,R
Sachertorte,R
Easter Egg,R
Lion's Head,R
Unadon,R
Kashiwa Mochi,R
Mackerel Ichiyaboshi,R
Ginger Milk Pudding,R
Wensi Tofu,R
Montblanc,R

Glowing Chest
Mentaiko,SR
Dragon & Phoenix,SR
Toso,SR
Gingerbread,SR
Turkey,SR
Turducken,SR
Paella,SR
Souffle,SR
Butter Tea,SR
Takowasa,SR
Gyudon,SR
Yuba Vegetable Spring Roll,SR
Kung Pao Chicken,SR
Peking Shredded Pork,SR
Champagne,SR
Crab Long Bao,SR
Durian Pancake,SR
Anzu Ame,SR
Pizza,SR
White Truffle,SR
Calamus Wine,SR
Adzuki Jelly,SR
Apple Pie,SR
Stargazy Pie,SR
Rum,SR
Inarizushi,SR
Grass Jelly,SR
Cookie,SR
Laziji,SR
Hibiscus Tea,SR
Buddha's Temptation,SR
Bird's Nest Soup,SR
Mingsixi,SR
Longjing Tea,SR
Dongding Oolong,SR
Bamboo Rice,SR
Junmai Daiginjo,SR
Nanjing Roast Duck,SR

Dazzling Chest
Mapo Tofu,UR
Wuyi Da Hong Pao,UR
Foie Gras,UR
Peking Duck,UR
Martini,UR
Croissant,UR
Oyster,UR
Candy Cane,UR
Natto,UR
Chiffon Cake,UR
Wuchang Fish,UR
Cordyceps,UR
Monkfish Liver,UR
Lamb Chops,UR
Whisky,UR
Stollen Bread,UR
Matcha,UR
Haggis,UR

