You meet a wandering bard. Do you go have a chat?
Chat,You learn about a lot of recent happenings in these parts from the bard. (Max Soul Pts +2)
Dance for him,You get a thumbs up from the bard and he gives you a gift. (Item received: Cross)
Don't chat,You miss out on a chance to get to know the bard. (Nothing happens)

A monkey steals a bag of dried food. What to do?
Pray,"Before the Lord comes to your aid, you're on the brink of starvation. (Current HP -5)"
Find food,You find fresh wild berries. (Current HP +5)
Find someone to help,You and a passing hunter go to teach the thieving monkey a lesson and get your rations back. (Current HP +10)

The water source up ahead is surrounded by thorns. Do you give up on this watering hole?
Give Up,You walk all day without finding water. You're exhausted. (Current Mana -7)
Observe,"You discover a witch has sprinkled a black potion on the thorns, and they disappear. You wait for the witch to leave, then go get water. (Current Mana +2)"
Don't give up,"You chop down the thorns and cut a path to the water. On the way back, you discover an item. (Item received: Grind Stone)"

You pass an orc and dwarf village. Do you go pay them a visit?
Visit,"You're treated hospitably by the orcs and dwarves, replenishing your field rations. (Current HP +5)"
Go the long way,"You walk many kilometers to avoid the orc and dwarf village, expending a lot of energy. (Current HP -5)"
Don't visit,You keep going on your way. (Nothing happens)

Your arm was scratched by a tree branch. Should you treat it?
Go to a clinic,You get a professional bandage and the wound heals quickly. (Current HP +10)
Treat it yourself with herbs,"Your wound heals slowly, but it finally heals over and you learn some basic medical techniques. (Max HP +2)"
Don't treat it,Your wound becomes irritated and gets worse. You're forced to find a clinic and spend even more money to get it treated. (Gold -200)

"A strangely dressed youngster says to you: ""I am a great wizard. Do you believe me?"" How do you reply?"
Believe him,The youngster is satisfied with your response and gives you a gift. (Item received: Savage Hammer)
Ignore,The youngster thinks you're boring and walks away muttering. (Nothing happens)
Don't believe him,The youngster angrily tries to convince you but gets taken away by a pastor. The pastor thanks you for stopping his escaped patient and promises to pray for you. (Max HP +5)

"At the fork in the road ahead, there's an elderly elven woman who has fallen down. Do you help her up?"
Help up the old lady,The old lady is grateful and gives you a magic potion. (Item received: Turbo Syringe)
Pretend you didn't see,The old lady is angry and turns you into a dwarf. (Max HP -5)
Lie down next to the old lady,The old lady looks on you with pity and gives you a pouch of medicine before going on her way. (Current HP +5)

You meet a magician who invites you to see his magic show. You decide to...
Agree,"The magician asks you to pay for a ticket, and you're too embarrassed to refuse. (Gold -500)"
Refuse,The magician leaves dejectedly. (Nothing happens)
Ask if you can have a cameo in his show,"The magician excitedly produces a lion from his hat that interacts with you, scaring you into running away. (Current Mana -2)"

There's a veiled person on the roadside with a display of goods. Among them is an ornate dagger that catches your eye. Do you have a look?
Ask how much,"You buy the mysterious dagger for a pretty penny, but aside from being sharp, there's nothing special about it. (Gold -1000)"
Pick up and look,The veiled person snatches it away and warns you not to touch if you're not going to buy. (Nothing happens)
Wonder if it's some mysterious organization's design,"The veiled person seems to recite some kind of curse. You don't understand, so the old lady chases you off with a broom. (Current HP -3)"

"In the labyrinth, you notice an oddly-shaped crack in the wall beside you. Do you have a look?"
Take a close look,"You notice a demon worm on the wall, but you don't disturb it and just sneak away. (Nothing happens)"
Leave right away,You're bitten by a demon worm disguised as a crack and poisoned. (Current HP -5)
Attack the wall,You find a demon worm under the rubble of the wall. You get its corpse. (Item received: Skeletal Hand)

There's an abandoned old wooden hut up ahead. Do you go explore?
Go in and take a look,"Aside from some old furniture, you don't find anything inside. The place gives you the willies, so you hurry out of there. (Nothing happens)"
Investigate surroundings first,"You discover two tombstones in the backyard, pay your respects, and leave. You receive the spirts' blessing. (Hit Rate +3%)"
Pass right by,"You're always encountering an identical house, which scares you into taking another route. (Nothing happens)"

A rabbit hops out of the brush behind you and rushes toward you. You decide to...
Wait for the rabbit,"The rabbit runs away, and a black bear emerges from the brush. You lose a shoe as you scurry away. (Gold -200)"
Run with the rabbit,"You hear a black bear's roar behind you. Good thing you run fast and climb a tree before the bear gets to you, barely escaping with your life. (Gold +200)"
Pay no mind,"You continue forward and are surprised to hear a brown bear roaring behind you. You duck into the roadside brush, and the bear doesn't find you. (Nothing happens)"

A stone up ahead moved a bit. Do you have a look?
Go forward and look,"You save a dwarf struck by a falling rock, and the dwarf gives you a treasure of his people as a thank-you. (Item received: Grind Stone)"
Don't look,You ignore the dwarf pinned under the rock. He gets angry and curses you with three days of bad luck. (Max HP -3)
Attack the stone,"Your attack breaks the rock but also injures the dwarf. Although hurting, he still gives you some gold to thank you for your help. (Gold +200)"

A local blocks the way and demands you pay a toll. Do you pay it?
Give it to him,The local sees that you're an easy mark and fleeces you good. (Gold -500)
Firmly refuse to pay,"You're in a stand-off until it starts getting dark and the guy needs to go home and eat. He leaves with a shrug, and you continue on your way. (Current Mana -1)"
Stare at him,"The local gets creeped out by your stare, and after muttering something, he slinks away. (Nothing happens)"

A handsome young man covered in blood is lying under a tree. His expensive clothes are torn by beast claws. Do you save him?
Save him,"The man is the Duke's son, and he gives you a priceless pocket watch as a thank-you. He also promises the Duke's help if you're ever in need. (Dodge +2%)"
Don't save,"A soldier rushes to the scene and assumes you're the assailant, hauling you away. (Gold -200)"
Shake him awake,The man weakly gives you a jewel-encrusted sword and hopes you'll save him. (Item received: Blessing Sword)

Up ahead you discover a water town wreathed in mist. Do you investigate?
Go get water,Your water flask is knocked away by the tail of an alligator. No one steals his water! (Current Mana -2)
Observe surroundings,"You notice one big and one small alligator on the bank, and you silently flee. (Nothing happens)"
Pray that a river god appears,The river god admonishes you to stop dreaming and hurry on with your exploration. (Nothing happens)

There's a calico cat pacing on a tree branch. It seems to have climbed too high and can't get down. Do you save the cat?
Climb the tree to get the cat down,"While you struggle to climb the tree, the cat nestles on your shoulder and you get it back to the ground. The cat takes a liking to you. (Current Mana +2)"
Open arms wide to catch the cat,"The cat's soft paw pads step on your face, and it makes it back to the ground. Your face has a scratch mark, but you are liked by the cat. (Current HP -1)"
Lie down and watch how the cat gets down,"The cat leaps down and nimbly lands on your belly to break the fall, dealing you a critical hit. (Current HP -5)"

There's a line of goblins passing on the road up ahead. Do you go forward?
Rush past and disturb their line,You're attacked by the angry goblins (Current HP -5)
